prop_name,monthly_rent,location,property_type,rooms,parking,bathroom,size(sq.ft.),furnished,region,near_KTM-LRT,minimart availability,security availability
Twin Arkz,3000,Bukit Jalil,Condominium,3,2,2,1170,2,Kuala Lumpur,0,0,1
Angkasa Condominiums,1400,Cheras,Condominium,3,1,2,950,2,Kuala Lumpur,0,1,1
Baiduri Apartment (Desa Pandan),1399,Desa Pandan,Apartment,3,1,2,1000,1,Kuala Lumpur,0,1,1
Residensi Gombak 126,1450,Setapak,Service Residence,3,1,2,923,1,Kuala Lumpur,0,0,1
Residensi Vista Wirajaya,1800,Setapak,Apartment,3,1,2,880,1,Kuala Lumpur,1,0,1
South View,1999,Bangsar South,Service Residence,2,1,1,648,1,Kuala Lumpur,1,0,1
Wangsa Metroview,1700,Wangsa Maju,Condominium,3,1,2,1150,1,Kuala Lumpur,1,1,1
Sofiya Residences,1600,Desa ParkCity,Condominium,3,1,2,862,1,Kuala Lumpur,0,0,1
Majestic Maxim,1500,Cheras,Service Residence,2,1,2,650,2,Kuala Lumpur,1,0,1
Maxim Citilights,1400,Sentul,Service Residence,3,2,2,1009,1,Kuala Lumpur,0,1,1
Platinum Teratai Residence,1800,Setapak,Apartment,3,1,2,930,1,Kuala Lumpur,0,0,1
Residensi Gombak 126,1180,Setapak,Service Residence,2,1,2,558,1,Kuala Lumpur,0,0,1
Regalia Residence,2000,Jalan Sultan Ismail,Service Residence,1,1,1,800,2,Kuala Lumpur,1,0,1
PPA1M Metropolitan Kepong,1200,Kepong,Condominium,4,1,2,1100,1,Kuala Lumpur,0,0,0
Majestic Maxim,1300,Cheras,Service Residence,2,1,2,650,1,Kuala Lumpur,0,0,1
Platinum OUG Residence,1700,Kuchai Lama,Condominium,3,1,2,1200,2,Kuala Lumpur,1,1,1
Southbank Residence,2450,Old Klang Road,Service Residence,2,1,2,780,2,Kuala Lumpur,0,0,1
KL Traders Square condo Jalan Gombak,1700,Setapak,Condominium,3,2,2,950,2,Kuala Lumpur,1,1,1
Season Garden Residence,1450,Wangsa Maju,Condominium,4,1,2,850,1,Kuala Lumpur,1,1,1
Platinum Lake PV10,1650,Setapak,Condominium,4,1,2,1272,1,Kuala Lumpur,0,1,1
Platinum Hill PV 5,1600,Setapak,Condominium,4,1,2,1272,2,Kuala Lumpur,1,1,1
The Pano,1600,Sentul,Service Residence,1,1,1,609,1,Kuala Lumpur,1,0,1
The Centrina,1500,Sungai Besi,Service Residence,3,2,2,1130,1,Kuala Lumpur,0,1,1
Platinum OUG Residence,1500,Kuchai Lama,Condominium,3,1,3,850,1,Kuala Lumpur,1,0,1
